"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.298126165667127e+04, -1.838086942504831e-01, 8.811790917810847e-01
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.234994441234021e+04, -1.977163209716742e-01, 8.875498125500989e-01
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.170712646780742e+04, -2.118773027958253e-01, 8.940527100718778e-01
44, 5.747100114820000e-01, -4.751950934859488e-02, 9.105318556772481e+04, -2.262833181830740e-01, 9.006771676259127e-01
45, 5.590599775310000e-01, -4.872955796694115e-02, 9.038706193262142e+04, -2.409577135847030e-01, 9.074443368489061e-01
46, 5.433599948880000e-01, -4.989683951066199e-02, 8.970986592446438e+04, -2.558760282404484e-01, 9.143355654130291e-01
47, 5.276100039480000e-01, -5.101897737545535e-02, 8.902449858442953e+04, -2.709743535557979e-01, 9.213258404431350e-01
48, 5.118399858470000e-01, -5.209138375948307e-02, 8.833677878494290e+04, -2.861245024641600e-01, 9.283428748324509e-01
49, 4.960500001910000e-01, -5.311153541819326e-02, 8.764648655606409e+04, -3.013313208015206e-01, 9.354181270040992e-01
50, 4.802699983120000e-01, -5.407492053959814e-02, 8.693492850739144e+04, -3.170066153071922e-01, 9.427557281376441e-01
51, 4.645099937920000e-01, -5.497835513414191e-02, 8.616180633901973e+04, -3.340381388781736e-01, 9.507925321824909e-01
52, 4.487800002100000e-01, -5.581859897363720e-02, 8.532406080583709e+04, -3.524932852684720e-01, 9.595126662674878e-01
53, 4.331099987030000e-01, -5.659141825851464e-02, 8.455759898315776e+04, -3.693780845062352e-01, 9.674246615710334e-01
54, 4.174999892710000e-01, -5.729416860686566e-02, 8.410876978366777e+04, -3.792655840544091e-01, 9.718735200509261e-01
55, 4.019699990750000e-01, -5.792324246601335e-02, 8.408387176496245e+04, -3.798140758837711e-01, 9.717895744272314e-01
56, 3.865399956700000e-01, -5.847520956655861e-02, 8.409995105305719e+04, -3.794598566084825e-01, 9.714010303417427e-01
57, 3.712300062180000e-01, -5.894684318665333e-02, 8.317845588469812e+04, -3.997599687026778e-01, 9.812144686804323e-01
58, 3.560400009160000e-01, -5.933561549045978e-02, 8.040084965657527e+04, -4.609493484417346e-01, 1.011329272689507e+00
59, 3.409900069240000e-01, -5.963847719943702e-02, 7.630602995378205e+04, -5.511563314259706e-01, 1.056754272912960e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 7.311689323145256e+04, -6.214115374975202e-01, 1.092208148961685e+00
61, 3.113999962810000e-01, -5.997565198183213e-02, 7.185391122204243e+04, -6.492344466611497e-01, 1.105858419171058e+00
62, 2.968699932100000e-01, -6.000550062925582e-02, 7.186257065536547e+04, -6.490436833525985e-01, 1.105253084745182e+00
